Comment,Designator,Footprint,LCSC
"0.1uF","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1525"
"1N4148","D1,D2","Diode_SMD:D_SOD-123","C81598"
"MountingHole","H1,H2","MountingHole:MountingHole_3.2mm_M3_Pad",""
"MIDI IN B","J1","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"MIDI IN A","J2","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"MIDI OUT A","J3","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"MIDI OUT B","J4","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"Barrel_Jack","J5","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Conn_02x08_Counter_Clockwise","J6","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical",""
"220","R1,R2","Resistor_SMD:R_0402_1005Metric","C25091"
"47","R3,R4,R5,R6","Resistor_SMD:R_0402_1005Metric","C25118"
"470","R7,R8","Resistor_SMD:R_0402_1005Metric","C25117"
"330","R9,R10,R11,R12,R13,R14,R15,R16","Resistor_SMD:R_0402_1005Metric","C25104"
"SW_Push","SW1","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"6N138","U1,U2","Package_DIP:DIP-8_W7.62mm","C255743"
"L7805","U3","Package_TO_SOT_SMD:TO-252-2","C54285"
"Teensy-LC","U4","clarinoid2:Teensy_LC",""
"WS2812","U5","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
