Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,229.437745,-71.432256,-90,top
C2,0.1uF,C_0402_1005Metric,243.08,-71.26,-90,top
D1,1N4148,D_SOD-123,216.437745,-64.742256,90,top
D2,1N4148,D_SOD-123,230.28,-64.78,90,top
J1,MIDI IN B,PinSocket_1x03_P2.54mm_Vertical,221.6,-60.2,90,top
J2,MIDI IN A,PinSocket_1x03_P2.54mm_Vertical,234.86,-60.342256,90,top
J3,MIDI OUT A,PinSocket_1x03_P2.54mm_Vertical,209.475,-60.175,90,top
J4,MIDI OUT B,PinSocket_1x03_P2.54mm_Vertical,207.875,-68.175,90,top
J5,Barrel_Jack,PinSocket_1x02_P2.54mm_Vertical,221,-95,0,top
J6,Conn_02x08_Counter_Clockwise,PinSocket_2x08_P2.54mm_Vertical,201.300001,-89.34,180,top
R1,220,R_0402_1005Metric,217.037745,-68.232256,90,top
R2,220,R_0402_1005Metric,230.88,-68.27,90,top
R3,47,R_0402_1005Metric,211.75,-62.6,180,top
R4,47,R_0402_1005Metric,213.95,-62.6,180,top
R5,47,R_0402_1005Metric,211.555,-70.675,180,top
R6,47,R_0402_1005Metric,213.755,-70.675,180,top
R7,470,R_0402_1005Metric,229.437745,-69.342256,-90,top
R8,470,R_0402_1005Metric,243.08,-69.27,-90,top
R9,330,R_0402_1005Metric,206.700001,-88.54,180,top
R10,330,R_0402_1005Metric,206.700001,-86.14,180,top
R11,330,R_0402_1005Metric,206.700001,-83.54,180,top
R12,330,R_0402_1005Metric,206.700001,-78.54,180,top
R13,330,R_0402_1005Metric,206.700001,-75.94,180,top
R14,330,R_0402_1005Metric,206.700001,-73.34,180,top
R15,330,R_0402_1005Metric,206.700001,-80.94,180,top
R16,330,R_0402_1005Metric,206.700001,-70.74,180,top
SW1,SW_Push,PinSocket_1x02_P2.54mm_Vertical,212.4,-97.4,90,top
U1,6N138,DIP-8_W7.62mm,227.037745,-63.542256,-90,top
U2,6N138,DIP-8_W7.62mm,240.88,-63.58,-90,top
U3,L7805,TO-252-2,228.975,-95.6,0,top
U4,Teensy-LC,Teensy_LC,226.06,-81.8,180,top
U5,WS2812,PinSocket_1x03_P2.54mm_Vertical,202.075,-97.575,90,top
