Comment,Designator,Footprint,LCSC
PCM5102A,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C107671
microSD SOFNG TF-15x15,J38,SOFNG TF-15x15 (LCSC C111196),C111196
1uH,L1,Inductor_MCS0630-1R0MN2,C112125
WS2812,U38,PinSocket_1x03_P2.54mm_Vertical,C146243
10uF,"C1,C10,C11,C15,C16,C3,C5",C_0805_2012Metric,C15850
100k,"R14,R15",R_1206_3216Metric,C17900
10k,"R10,R4",R_1206_3216Metric,C17902
4.7k,"R40,R41",R_1206_3216Metric,C17936
2R,R9,R_1206_3216Metric,C17942
220R,R19,R_1206_3216Metric,C17957
22R,"R1,R2,R3",R_1206_3216Metric,C17958
47R,"R20,R21",R_1206_3216Metric,C17969
75k,R12,R_1206_3216Metric,C17986
Injoinic IP5306 battery charge,IC2,SOIC127P599X155-9N,C181692
1N4148WS,D6,D_SOD-323,C2128
0.5R,R11,R_1206_3216Metric,C25340
5.1k,"R7,R8",R_1206_3216Metric,C26033
25%,"D1,D2,D3,D4",LED_0805_2012Metric,C264424
4p,"J31,J5,J8",PinSocket_1x04_P2.54mm_Vertical,C2718488
Conn_01x08,J44,PinSocket_1x08_P2.54mm_Vertical,C27438
1uF,C29,C_0805_2012Metric,C28323
M.2 riser 2.5mm,H4,Sinhoo SMTSO2530CTJ,C2915630
SW_Push,"SW1,SW6",XKB switch jlcpcb SW_TS-1187A-B-A-B,C318884
XKB_U262-16XN-4BVC11 USB-C recept,J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
female 1x6,"J45,J52,J53,J6",PinSocket_1x06_P2.54mm_Vertical,C358720
SSD1306,J12,PinSocket_1x07_P2.54mm_Vertical,C358721
3.3v,D12,D_MiniMELF,C393436
470R,"R22,R34,R35,R36,R37,R5,R6",R_1206_3216Metric,C4502
CY8CMBR3108-LQXIT,IC3,QFN50P300X300X60-17N-D,C462528
TLV75733PDBV,"U19,U7",SOT-23-5,C485517
2.2uF,"C12,C7,C8,C9",C_0805_2012Metric,C49217
captouch 3x3x1 header B,"J13,J14,J15,J17,J18,J19,J21,J24,J25,J26,J27,J9",PinHeader_1x06_P2.54mm_Vertical,C492405
header_power tap,"J32,J33",PinSocket_1x02_P2.54mm_Vertical,C49661
0.1uF,"C13,C14,C23,C24,C25,C26,C27,C28,C31,C32,C4,C6",C_0805_2012Metric,C49678
Conn_01x20,"J43,U2,U3",PinSocket_1x20_P2.54mm_Vertical,C50984
0.22uF,"C2,C30",C_0805_2012Metric,C5378
6N138,U8,DIP-8_W7.62mm,C571211
22uF,"C17,C18,C19,C20,C21,C22",C_0805_2012Metric,C602037
blue,"D5,D7",LED_0603_1608Metric,C72041
green,"D8,D9",LED_0603_1608Metric,C72043
APCI0108-P001A Teensy_4.0_MicroMod,U40,21992304,C841659
SW_Push,"SW2,SW3,SW4,SW5",B3F-4055,C84931
"PCA9554APW,118",IC1,SOP65P640X110-16N,C86803
"MPR121, 0x5A",U45,UQFN-20_3x3mm_P0.4mm,C91322
