Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C6, C7",C_0805_2012Metric,5,10uF,C15850
"C10, C12, C15, C19, C2, C25, C9",C_0805_2012Metric,7,0.1uF,C49678
"C14, C18",C_0805_2012Metric,2,0.22uF,C5378
"C16, C26",C_1206_3216Metric,2,10uF,C13585
C17,C_0805_2012Metric,1,1uF,C28323
"C20, C33",C_1206_3216Metric,2,0.1uF,C24497
"C21, C22, C23, C24, C27, C28, C29, C30, C31, C32",C_1206_3216Metric,10,22uF,C12891
"C3, C4, C5, C8",C_0805_2012Metric,4,2.2uF,C49217
D1,D_MiniMELF,1,3.3v,C393436
"D16, D17, D18, D19, D20",LED_0805_2012Metric,5,red,C264424
D2,D_SOD-323,1,1N4148WS,C2128
H1,Sinhoo SMTSO2530CTJ,1,M.2 riser 2.5mm,C2915630
IC3,SOIC127P599X155-9N (IP5306),1,Injoinic IP5306 battery charge,C181692
"J10, J19",PinSocket_1x07_P2.54mm_Vertical,2,Conn_01x07,C358721
J13,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09,C39576
"J15, J16",PinSocket_1x12_P2.54mm_Vertical,2,Conn_01x12,C350303
J18,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,C146243
"J23, J24, J60",PinSocket_1x05_P2.54mm_Vertical,3,Conn_01x05,C50950
J61,RJ45_Amphenol_RJHSE538X,1,RJ45_LED_Shielded,C464587
J62,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,C27438
L1,Inductor_MCS0630-1R0MN2,1,1uH-psa,C385251
"R1, R2, R3",R_1206_3216Metric,3,22R,C17958
R10,R_1206_3216Metric,1,220R,C17957
"R11, R4, R5",R_1206_3216Metric,3,470R,C4502
"R12, R13",R_1206_3216Metric,2,47R,C17969
R27,R_1206_3216Metric,1,2R,C17942
R28,R_1206_3216Metric,1,10k,C17902
R29,R_1206_3216Metric,1,0.5R,C25340
"R47, R48, R49, R50, R51, R52, R53, R54, R57, R58, R59, R60, R61, R62, R63",R_0805_2012Metric,15,220,C17557
"R6, R7",R_1206_3216Metric,2,4.7k,C17936
R8,R_1206_3216Metric,1,100k,C17900
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
"U2, U3",SOT-23-5,2,TLV75733PDBV,C485517
U4,APCI0108-P001A M.2 MicroMod 21992304,1,APCI0108-P001A Teensy_4.0_MicroMod,C841659
U5,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,C86803
U7,DIP-8_W7.62mm,1,6N138,C571211
