Designator,Mid X,Mid Y,Rotation,Layer
BT1,218.472113,-77.611604,180.0,top
C1,104.219051,-77.361604,90.0,top
C10,111.299051,-95.211604,90.0,top
C11,119.799051,-83.411604,-90.0,top
C12,122.299051,-83.411604,-90.0,top
C13,-3.500949,-60.761604,90.0,top
C14,-5.600949,-60.761604,90.0,top
C15,-7.700949,-60.761604,90.0,top
C16,-21.250949,-52.611604,0.0,top
C17,-16.313449,-64.261604,180.0,top
C18,-16.313449,-62.161604,180.0,top
C19,-16.313449,-60.061604,180.0,top
C2,104.219051,-81.161604,90.0,top
C20,38.374051,-88.011604,0.0,top
C21,12.557899,-22.611604,90.0,top
C22,15.057899,-22.611604,90.0,top
C23,17.557899,-22.611604,90.0,top
C24,20.057899,-22.611604,90.0,top
C25,22.557899,-22.611604,90.0,top
C26,-14.625949,-48.611604,0.0,top
C27,-10.650949,-34.911604,90.0,top
C28,-11.250949,-28.011604,90.0,top
C29,-14.550949,-34.311604,0.0,top
C3,117.699051,-94.511604,180.0,top
C30,-13.750949,-28.011604,90.0,top
C31,-16.250949,-28.011604,90.0,top
C32,-18.750949,-28.011604,90.0,top
C33,-21.250949,-28.011604,90.0,top
C4,119.399051,-90.411604,-90.0,top
C5,127.799051,-95.311604,180.0,top
C6,108.899051,-95.211604,-90.0,top
C7,113.699051,-95.211604,90.0,top
C8,127.849051,-87.411604,180.0,top
C9,106.499051,-95.211604,-90.0,top
D1,-11.638449,-60.161604,180.0,top
D10,30.058272,-50.704078,45.0,top
D11,42.557899,-52.275556,90.0,top
D12,52.666998,-52.275556,90.0,top
D13,62.776107,-52.275556,90.0,top
D14,209.063685,-40.111604,180.0,top
D15,152.643685,-33.756604,-90.0,top
D16,3.549051,-45.711604,180.0,top
D17,236.772113,-60.974104,-90.0,top
D18,233.772113,-60.911604,90.0,top
D19,230.772113,-60.911604,-90.0,top
D2,34.174051,-78.111604,0.0,top
D20,227.772113,-60.911604,90.0,top
D21,155.692113,-77.411604,90.0,top
D22,138.392113,-67.511604,-90.0,top
D7,8.613637,-29.259442,45.0,top
D8,15.761848,-36.407655,45.0,top
D9,22.91006,-43.555867,45.0,top
DS1,99.474051,-77.711604,-90.0,top
H1,-17.363449,-81.111604,180.0,top
IC1,13.474051,-65.111604,-90.0,top
IC2,34.474051,-65.111604,90.0,top
IC3,-1.650949,-39.611604,90.0,top
J1,-29.525949,-96.111604,180.0,top
J10,181.057899,-26.111604,0.0,top
J11,58.342899,-30.611604,90.0,bottom
J12,34.342899,-30.611604,90.0,bottom
