Designator,Mid X,Mid Y,Rotation,Layer
C34,131.220548,-65.975267,-90.0,top
C35,114.820548,-68.375267,-90.0,top
D23,72.319051,-56.311604,-90.0,top
D24,111.594051,-30.311604,180.0,top
D25,97.369051,-110.311604,180.0,top
D26,85.269051,-110.311604,180.0,top
D27,88.819051,-93.311604,-90.0,top
D28,82.819051,-93.311604,-90.0,top
D29,73.169051,-110.311604,180.0,top
D30,61.069051,-110.311604,180.0,top
D31,76.819051,-93.311604,-90.0,top
D32,48.969051,-110.311604,180.0,top
D33,70.819051,-93.311604,-90.0,top
D34,36.869051,-110.311604,180.0,top
D35,64.819051,-93.311604,-90.0,top
D36,58.819051,-93.311604,-90.0,top
D37,52.819051,-93.311604,-90.0,top
D38,46.819051,-93.311604,-90.0,top
J17,22.319051,-63.311604,0.0,top
J27,28.034051,-35.211604,90.0,top
J28,50.319051,-81.861604,180.0,top
J29,51.759051,-25.436604,0.0,top
J30,81.819051,-25.436604,0.0,top
J31,113.194051,-98.251604,-90.0,top
J35,22.319051,-78.311604,0.0,top
J36,58.319051,-81.861604,180.0,top
J37,66.319051,-81.861604,180.0,top
J38,135.319051,-72.311604,0.0,top
J39,44.819051,-51.861604,180.0,top
J40,74.319051,-81.861604,180.0,top
J41,82.319051,-81.861604,180.0,top
J42,90.319051,-81.861604,180.0,top
J43,42.319051,-81.861604,180.0,top
J44,98.819051,-81.861604,180.0,top
J45,106.819051,-81.861604,180.0,top
J46,114.819051,-81.861604,180.0,top
J47,122.819051,-81.861604,180.0,top
J48,51.319051,-54.771604,0.0,top
J6,22.319051,-48.311604,0.0,top
J64,126.319051,-105.811604,90.0,top
J65,170.319051,-115.811604,-90.0,top
J66,170.319051,-101.811604,-90.0,top
J67,170.319051,-85.811604,-90.0,top
J68,156.319051,-115.271604,0.0,top
J69,162.319051,-115.271604,0.0,top
J70,156.319051,-100.731604,0.0,top
J71,162.344051,-100.731604,0.0,top
J72,156.319051,-84.191604,0.0,top
J73,162.319051,-84.191604,0.0,top
J74,170.319051,-67.811604,-90.0,top
J75,170.319051,-47.811604,-90.0,top
J76,170.319051,-23.811604,-90.0,top
J77,156.319051,-65.651604,0.0,top
J78,162.319051,-65.651604,0.0,top
J79,156.319051,-45.111604,0.0,top
J80,162.344051,-45.111604,0.0,top
J81,156.319051,-20.031604,0.0,top
J82,162.319051,-20.031604,0.0,top
J84,7.759051,-96.436604,0.0,top
J85,29.319051,-88.311604,0.0,top
J86,-9.680949,-92.011604,180.0,top
R14,-11.740949,-103.811604,0.0,top
R21,-1.660949,-89.731604,-90.0,top
R26,-11.660949,-99.411604,90.0,top
R32,48.819051,-45.891604,90.0,top
R33,59.819051,-45.891604,90.0,top
R34,72.319051,-53.311604,90.0,top
R35,67.239051,-36.311604,0.0,top
R36,98.819051,-22.231604,-90.0,top
R37,115.319051,-32.311604,0.0,top
R38,101.594051,-112.391604,90.0,top
R39,89.594051,-112.311604,90.0,top
R40,77.594051,-112.311604,90.0,top
R41,65.594051,-112.311604,90.0,top
R42,53.594051,-112.311604,90.0,top
R43,41.594051,-112.391604,90.0,top
R44,115.899051,-90.311604,180.0,top
R45,115.899051,-113.311604,180.0,top
R46,-8.460949,-99.411604,90.0,top
U10,146.319051,-99.311604,0.0,top
U26,12.319051,-50.811604,90.0,top
U27,144.319051,-35.311604,90.0,top
U28,12.319051,-82.811604,90.0,top
U29,138.319051,-87.311604,0.0,top
U30,12.319051,-26.811604,90.0,top
U31,21.819051,-87.311604,0.0,top
U32,-15.430949,-87.311604,0.0,top
U33,30.319051,-97.311604,90.0,top
U34,144.319051,-97.311604,90.0,top
U35,144.319051,-66.311604,90.0,top
U36,122.319051,-104.311604,90.0,top
U37,39.319051,-87.311604,0.0,top
U38,72.819051,-87.311604,0.0,top
U39,111.319051,-87.311604,0.0,top
U9,126.359051,-67.366604,180.0,top
