Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C6, C7",C_0805_2012Metric,5,10uF,C15850
"C10, C12, C15, C19, C2, C25, C9",C_0805_2012Metric,7,0.1uF,C49678
"C14, C18",C_0805_2012Metric,2,0.22uF,C5378
"C16, C26",C_1206_3216Metric,2,10uF,C13585
C17,C_0805_2012Metric,1,1uF,C28323
"C20, C33, C35",C_1206_3216Metric,3,0.1uF,C49678
"C21, C22, C23, C24, C27, C28, C29, C30, C31, C32",C_1206_3216Metric,10,22uF,
"C3, C4, C5, C8",C_0805_2012Metric,4,2.2uF,C49217
C34,C_1206_3216Metric,1,0.33uF,
D1,D_MiniMELF,1,3.3v,C393436
D16,LED_0805_2012Metric,1,korgpwr,C264424
D17,LED_0805_2012Metric,1,25%,C264424
D18,LED_0805_2012Metric,1,50%,C264424
D19,LED_0805_2012Metric,1,75%,C264424
D2,D_SOD-323,1,1N4148WS,C2128
D20,LED_0805_2012Metric,1,100%,C264424
"D27, D28, D31, D33, D35, D36, D37, D38",LED_WS2812B-B Worldsemi,8,WS2812B,
H1,Sinhoo SMTSO2530CTJ,1,M.2 riser 2.5mm,C2915630
H23,MountingHole_5.3mm_M5,1,MountingHole_fb,
IC3,SOIC127P599X155-9N (IP5306),1,Injoinic IP5306 battery charge,C181692
"J10, J19",PinSocket_1x07_P2.54mm_Vertical,2,Conn_01x07,
J13,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09,
"J15, J16",PinSocket_1x12_P2.54mm_Vertical,2,Conn_01x12,
"J18, J71",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03,
"J23, J24, J60, J78",PinSocket_1x05_P2.54mm_Vertical,4,Conn_01x05,
"J26, J54",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02,
"J29, J30, J31, J61, J84",RJ45_Amphenol_RJHSE538X,5,RJ45_LED_Shielded,
"J34, J53, J55, J58",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,Conn_01x04,
"J62, J82",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
J69,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J73,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J80,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J86,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,XKB_U262-16XN-4BVC11 USB-C recept,C319148
L1,Inductor_MCS0630-1R0MN2,1,1uH-psa,C385251
NT5,NetTie-2_SMD_Pad1.0mm,1,NetTie_2,
"R1, R2, R3",R_1206_3216Metric,3,22R,C17958
R10,R_1206_3216Metric,1,220R,C17957
"R11, R4, R5",R_1206_3216Metric,3,470R,C4502
"R12, R13",R_1206_3216Metric,2,47R,C17969
"R26, R46",R_1206_3216Metric,2,5.1k,C26033
R27,R_1206_3216Metric,1,2R,
R28,R_1206_3216Metric,1,10k,
R29,R_1206_3216Metric,1,0.5R,
"R47, R48, R49, R50, R51, R52, R53, R54, R57, R58, R59, R60, R61, R62, R63",R_0805_2012Metric,15,220,
"R6, R7",R_1206_3216Metric,2,4.7k,C17936
R8,R_1206_3216Metric,1,100k,C17900
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
"U2, U3",SOT-23-5,2,TLV75733PDBV,C485517
U4,APCI0108-P001A M.2 MicroMod 21992304,1,APCI0108-P001A Teensy_4.0_MicroMod,C841659
U5,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,
U7,DIP-8_W7.62mm,1,6N138,C571211
