Designator,Mid X,Mid Y,Rotation,Layer
BT1,263.404837,-283.254497,180.0,top
C1,67.199837,-288.754497,90.0,top
C10,74.279837,-306.604497,90.0,top
C11,82.779837,-294.804497,-90.0,top
C12,85.279837,-294.804497,-90.0,top
C13,-40.520163,-272.154497,90.0,top
C14,-42.620163,-272.154497,90.0,top
C15,-44.720163,-272.154497,90.0,top
C16,-79.345163,-169.604497,0.0,top
C17,-53.332663,-275.654497,180.0,top
C18,-53.332663,-273.554497,180.0,top
C19,-53.332663,-271.454497,180.0,top
C2,67.199837,-292.554497,90.0,top
C20,1.354837,-299.404497,0.0,top
C21,-4.045163,-213.704497,90.0,top
C22,-1.545163,-213.704497,90.0,top
C23,0.954837,-213.704497,90.0,top
C24,3.454837,-213.704497,90.0,top
C25,5.954837,-213.704497,90.0,top
C26,-72.720163,-165.604497,0.0,top
C27,-68.745163,-151.904497,90.0,top
C28,-69.345163,-145.004497,90.0,top
C29,-72.645163,-151.304497,0.0,top
C3,80.679837,-305.904497,180.0,top
C30,-71.845163,-145.004497,90.0,top
C31,-74.345163,-145.004497,90.0,top
C32,-76.845163,-145.004497,90.0,top
C33,-79.345163,-145.004497,90.0,top
C34,158.606334,-375.76816,-90.0,top
C35,142.206334,-378.16816,-90.0,top
C4,82.379837,-301.804497,-90.0,top
C5,90.779837,-306.704497,180.0,top
C6,71.879837,-306.604497,-90.0,top
C7,76.679837,-306.604497,90.0,top
C8,90.829837,-298.804497,180.0,top
C9,69.479837,-306.604497,-90.0,top
D1,-48.657663,-271.554497,180.0,top
D10,13.45521,-241.796971,45.0,top
D11,25.954837,-243.368449,90.0,top
D12,36.063936,-243.368449,90.0,top
D13,46.173045,-243.368449,90.0,top
D14,192.460623,-231.204497,180.0,top
D15,136.040623,-224.849497,-90.0,top
D16,-54.545163,-162.704497,180.0,top
D17,281.704837,-266.616997,-90.0,top
D18,278.704837,-266.554497,90.0,top
D19,275.704837,-266.554497,-90.0,top
D2,-2.845163,-289.504497,0.0,top
D20,272.704837,-266.554497,90.0,top
D21,200.624837,-283.054497,90.0,top
D22,183.324837,-273.154497,-90.0,top
D23,99.704837,-366.104497,-90.0,top
D24,138.979837,-340.104497,180.0,top
D25,124.304837,-472.354497,180.0,top
D26,112.204837,-472.354497,180.0,top
D27,115.754837,-455.354497,-90.0,top
D28,109.754837,-455.354497,-90.0,top
D29,100.104837,-472.354497,180.0,top
D30,88.004837,-472.354497,180.0,top
D31,103.754837,-455.354497,-90.0,top
D32,75.904837,-472.354497,180.0,top
D33,97.754837,-455.354497,-90.0,top
D34,63.804837,-472.354497,180.0,top
D35,91.754837,-455.354497,-90.0,top
D36,85.754837,-455.354497,-90.0,top
D37,79.754837,-455.354497,-90.0,top
D38,73.754837,-455.354497,-90.0,top
D7,-7.989425,-220.352335,45.0,top
D8,-0.841214,-227.500548,45.0,top
D9,6.306998,-234.64876,45.0,top
DS1,62.454837,-289.104497,-90.0,top
IC1,-23.545163,-276.504497,-90.0,top
IC2,-2.545163,-276.504497,90.0,top
IC3,-59.745163,-156.604497,90.0,top
J1,-66.545163,-307.504497,180.0,top
J10,164.454837,-217.204497,0.0,top
J11,41.739837,-221.704497,90.0,bottom
J12,17.739837,-221.704497,90.0,bottom
J13,160.454837,-217.204497,0.0,top
J14,65.739837,-221.704497,90.0,bottom
J15,122.394837,-238.204497,-90.0,top
J16,62.454837,-238.204497,90.0,top
J17,49.704837,-373.104497,0.0,top
J18,12.154837,-217.704497,0.0,top
J19,175.334837,-220.204497,90.0,top
J2,-62.545163,-307.504497,180.0,top
J20,-87.095163,-158.104497,180.0,top
J21,-63.660163,-166.604497,90.0,top
J22,-9.545163,-207.654497,180.0,bottom
J23,215.379837,-276.754497,0.0,top
J24,191.944837,-268.254497,-90.0,top
J25,252.904837,-299.254497,0.0,bottom
J26,202.404837,-266.754497,180.0,bottom
J27,55.419837,-345.004497,90.0,top
J28,77.704837,-391.654497,180.0,top
J29,79.144837,-335.229497,0.0,top
J3,-24.485163,-286.504497,90.0,top
J30,109.204837,-335.229497,0.0,top
J31,140.129837,-460.294497,-90.0,top
J32,171.554837,-243.704497,0.0,bottom
J33,10.954837,-207.654497,180.0,bottom
J34,214.404837,-266.754497,180.0,bottom
J35,49.704837,-388.104497,0.0,top
J36,85.704837,-391.654497,180.0,top
J37,93.704837,-391.654497,180.0,top
J38,162.704837,-382.104497,0.0,top
J39,72.204837,-361.654497,180.0,top
J4,35.429837,-286.504497,-90.0,top
