Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,348.339304,-151.95,-90.0,top
C2,0.22uF,C_0805_2012Metric,350.439304,-151.95,-90.0,top
C3,10uF,C_0805_2012Metric,355.184556,-36.075729,-90.0,top
C4,0.1uF,C_0805_2012Metric,353.084556,-36.075729,-90.0,top
C5,10uF,C_0805_2012Metric,364.784556,-36.075729,90.0,top
C6,0.1uF,C_0805_2012Metric,362.684556,-36.075729,90.0,top
C7,2.2uF,C_0805_2012Metric,358.184556,-25.975729,0.0,top
C8,2.2uF,C_0805_2012Metric,359.184556,-23.875729,180.0,top
C9,2.2uF,C_0805_2012Metric,348.684556,-30.275729,90.0,top
C10,10uF,C_0805_2012Metric,365.234556,-26.668229,180.0,top
C11,10uF,C_0805_2012Metric,365.234556,-29.675729,0.0,top
C12,2.2uF,C_0805_2012Metric,348.684556,-33.775729,-90.0,top
C13,0.1uF,C_0805_2012Metric,368.734556,-26.668229,0.0,top
C14,0.1uF,C_0805_2012Metric,368.734556,-29.675729,180.0,top
C15,10uF,C_0805_2012Metric,462.939304,-71.020034,180.0,top
C16,10uF,C_0805_2012Metric,461.889304,-68.920034,0.0,top
C17,22uF,C_0805_2012Metric,418.589304,-71.200034,90.0,top
C18,22uF,C_0805_2012Metric,461.179304,-83.741034,90.0,top
C19,22uF,C_0805_2012Metric,463.979304,-79.741034,0.0,top
C20,22uF,C_0805_2012Metric,420.689304,-71.200034,90.0,top
C21,22uF,C_0805_2012Metric,422.789304,-71.200034,90.0,top
C22,22uF,C_0805_2012Metric,424.889304,-71.200034,90.0,top
C23,0.1uF,C_0805_2012Metric,426.989304,-71.200034,90.0,top
C24,0.1uF,C_0805_2012Metric,468.939304,-16.550034,180.0,top
C25,0.1uF,C_0805_2012Metric,476.938304,-14.522534,90.0,top
C26,0.1uF,C_0805_2012Metric,352.539304,-151.95,-90.0,top
C27,0.1uF,C_0805_2012Metric,350.984556,-54.675729,90.0,top
C28,0.1uF,C_0805_2012Metric,349.739304,-164.95,0.0,top
C29,1uF,C_0805_2012Metric,359.539304,-151.95,90.0,top
C30,0.22uF,C_0805_2012Metric,361.639304,-151.95,90.0,top
C31,0.1uF,C_0805_2012Metric,363.739304,-151.95,90.0,top
C32,0.1uF,C_0805_2012Metric,474.069304,-40.880034,90.0,top
D1,25%,LED_0805_2012Metric,463.916804,-130.956867,180.0,top
D2,50%,LED_0805_2012Metric,463.916804,-128.741034,0.0,top
D3,75%,LED_0805_2012Metric,463.916804,-126.525201,180.0,top
D4,100%,LED_0805_2012Metric,463.916804,-124.309368,0.0,top
