Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J9,captouch 3x3x1 headerA,PinHeader_1x06_P2.54mm_Vertical,71.261804,-46.600034,90.0,top
J13,captouch 3x3x1 header B,PinHeader_1x06_P2.54mm_Vertical,84.061804,-146.600034,-90.0,top
J14,captouch4x4x2 headerA,PinHeader_1x06_P2.54mm_Vertical,115.139304,-46.600034,90.0,top
J15,captouch4x4x2 header B,PinHeader_1x06_P2.54mm_Vertical,127.839304,-146.600034,-90.0,top
J17,captouch4x4x3 headerA,PinHeader_1x06_P2.54mm_Vertical,93.139304,-46.600034,90.0,top
J18,captouch4x4x3 header B,PinHeader_1x06_P2.54mm_Vertical,105.839304,-146.600034,-90.0,top
J19,captouch4x4x.5 headerA,PinHeader_1x06_P2.54mm_Vertical,137.139304,-46.600034,90.0,top
J21,captouch4x4x.5 header B,PinHeader_1x06_P2.54mm_Vertical,149.839304,-146.600034,-90.0,top
J24,captouch5x5x1 headerA,PinHeader_1x06_P2.54mm_Vertical,181.139304,-46.600034,90.0,top
J25,captouch5x5x1 header B,PinHeader_1x06_P2.54mm_Vertical,193.839304,-146.600034,-90.0,top
J26,captouch4x4x1 headerA,PinHeader_1x06_P2.54mm_Vertical,159.139304,-46.600034,90.0,top
J27,captouch4x4x1 header B,PinHeader_1x06_P2.54mm_Vertical,171.839304,-146.600034,-90.0,top
