Comment,Designator,Footprint,LCSC
PCM5102A,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C107671
WS2812,U38,PinSocket_1x03_P2.54mm_Vertical,C146243
10uF,"C10,C11,C3,C5",C_0805_2012Metric,C15850
4.7k,"R40,R41",R_1206_3216Metric,C17936
220R,R19,R_1206_3216Metric,C17957
22R,"R1,R2,R3",R_1206_3216Metric,C17958
47R,"R20,R21",R_1206_3216Metric,C17969
1N4148WS,D6,D_SOD-323,C2128
5.1k,"R7,R8",R_1206_3216Metric,C26033
4p,"J31,J5,J8",PinSocket_1x04_P2.54mm_Vertical,C2718488
Conn_01x08,J44,PinSocket_1x08_P2.54mm_Vertical,C27438
XKB_U262-16XN-4BVC11 USB-C recept,J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
female 1x6,"J45,J52,J53,J6",PinSocket_1x06_P2.54mm_Vertical,C358720
SSD1306,J12,PinSocket_1x07_P2.54mm_Vertical,C358721
470R,"R22,R34,R35,R36,R37,R5,R6",R_1206_3216Metric,C4502
TLV75733PDBV,U7,SOT-23-5,C485517
2.2uF,"C12,C7,C8,C9",C_0805_2012Metric,C49217
header_power tap,"J32,J33",PinSocket_1x02_P2.54mm_Vertical,C49661
0.1uF,"C13,C14,C23,C27,C4,C6",C_0805_2012Metric,C49678
Conn_01x20,J43,PinSocket_1x20_P2.54mm_Vertical,C50984
6N138,U8,DIP-8_W7.62mm,C571211
22uF,"C17,C20,C21,C22",C_0805_2012Metric,C602037
blue,"D5,D7",LED_0603_1608Metric,C72041
green,"D8,D9",LED_0603_1608Metric,C72043
SW_Push,"SW2,SW3,SW4,SW5",B3F-4055,C84931
"PCA9554APW,118",IC1,SOP65P640X110-16N,C86803
MountingHole,H15,MountingHole_3.2mm_M3,
MountingHole,H7,MountingHole_3.2mm_M3,
MountingHole,H14,MountingHole_3.2mm_M3,
MountingHole,H8,MountingHole_3.2mm_M3,
MountingHole,H13,MountingHole_3.2mm_M3,
