Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10uF,C_0805_2012Metric,355.184556,-36.075729,-90.0,top
C4,0.1uF,C_0805_2012Metric,353.084556,-36.075729,-90.0,top
C5,10uF,C_0805_2012Metric,364.784556,-36.075729,90.0,top
C6,0.1uF,C_0805_2012Metric,362.684556,-36.075729,90.0,top
C7,2.2uF,C_0805_2012Metric,358.184556,-25.975729,0.0,top
C8,2.2uF,C_0805_2012Metric,359.184556,-23.875729,180.0,top
C9,2.2uF,C_0805_2012Metric,348.684556,-30.275729,90.0,top
C10,10uF,C_0805_2012Metric,365.234556,-26.668229,180.0,top
C11,10uF,C_0805_2012Metric,365.234556,-29.675729,0.0,top
C12,2.2uF,C_0805_2012Metric,348.684556,-33.775729,-90.0,top
C13,0.1uF,C_0805_2012Metric,368.734556,-26.668229,0.0,top
C14,0.1uF,C_0805_2012Metric,368.734556,-29.675729,180.0,top
C17,22uF,C_0805_2012Metric,418.589304,-71.200034,90.0,top
C20,22uF,C_0805_2012Metric,420.689304,-71.200034,90.0,top
C21,22uF,C_0805_2012Metric,422.789304,-71.200034,90.0,top
C22,22uF,C_0805_2012Metric,424.889304,-71.200034,90.0,top
C23,0.1uF,C_0805_2012Metric,426.989304,-71.200034,90.0,top
C27,0.1uF,C_0805_2012Metric,350.984556,-54.675729,90.0,top
D5,blue,LED_0603_1608Metric,384.739304,-96.387534,-90.0,top
D6,1N4148WS,D_SOD-323,364.684556,-50.475729,90.0,top
D7,blue,LED_0603_1608Metric,383.139304,-96.387534,-90.0,top
D8,green,LED_0603_1608Metric,381.539304,-96.387534,-90.0,top
D9,green,LED_0603_1608Metric,379.939304,-96.387534,-90.0,top
IC1,"PCA9554APW,118",SOP65P640X110-16N,348.139304,-91.850034,90.0,top
J2,XKB_U262-16XN-4BVC11 USB-C recept,USB_C_Receptacle_XKB_U262-16XN-4BVC11,387.439304,-8.550034,180.0,top
J5,header_i2c,PinSocket_1x04_P2.54mm_Vertical,341.539304,-63.325034,90.0,top
J6,female 1x6,PinSocket_1x06_P2.54mm_Vertical,451.011804,-8.851034,-90.0,top
J8,female 1x4,PinSocket_1x04_P2.54mm_Vertical,412.849304,-96.970034,0.0,top
J12,SSD1306,PinSocket_1x07_P2.54mm_Vertical,341.039304,-69.325034,90.0,top
J31,4p,PinSocket_1x04_P2.54mm_Vertical,377.739304,-7.150034,-90.0,top
J32,header_power tap,PinSocket_1x02_P2.54mm_Vertical,370.119304,-91.970034,180.0,top
J33,header_power tap,PinSocket_1x02_P2.54mm_Vertical,352.139304,-123.120034,180.0,top
J43,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,399.629304,-7.440034,0.0,top
J44,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical,427.569304,-84.700034,-90.0,top
J45,female 1x6,PinSocket_1x06_P2.54mm_Vertical,438.311804,-108.851034,90.0,top
J52,female 1x6,PinSocket_1x06_P2.54mm_Vertical,430.629304,-89.940034,-90.0,top
J53,female 1x6,PinSocket_1x06_P2.54mm_Vertical,416.659304,-110.940034,90.0,top
R1,22R,R_1206_3216Metric,368.184556,-31.875729,180.0,top
R2,22R,R_1206_3216Metric,368.184556,-34.275729,180.0,top
R3,22R,R_1206_3216Metric,368.184556,-36.675729,180.0,top
R5,470R,R_1206_3216Metric,352.084556,-29.675729,180.0,top
R6,470R,R_1206_3216Metric,352.084556,-32.075729,180.0,top
R7,5.1k,R_1206_3216Metric,384.401804,-17.635034,0.0,top
R8,5.1k,R_1206_3216Metric,389.701804,-17.635034,180.0,top
R19,220R,R_1206_3216Metric,368.184556,-52.675729,90.0,top
R20,47R,R_1206_3216Metric,348.447056,-40.375729,0.0,top
R21,47R,R_1206_3216Metric,348.447056,-42.775729,0.0,top
R22,470R,R_1206_3216Metric,350.584556,-50.475729,90.0,top
R34,470R,R_1206_3216Metric,386.739304,-92.387534,90.0,top
R35,470R,R_1206_3216Metric,384.339304,-92.387534,90.0,top
R36,470R,R_1206_3216Metric,381.939304,-92.387534,90.0,top
R37,470R,R_1206_3216Metric,379.539304,-92.387534,90.0,top
R40,4.7k,R_1206_3216Metric,345.339304,-60.350034,0.0,top
R41,4.7k,R_1206_3216Metric,353.339304,-60.450034,0.0,top
SW2,SW_Push,B3F-4055,338.639304,-106.350034,90.0,top
SW3,SW_Push,B3F-4055,352.639304,-106.350034,90.0,top
SW4,SW_Push,B3F-4055,366.639304,-106.350034,90.0,top
SW5,SW_Push,B3F-4055,380.639304,-106.350034,90.0,top
U1,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,358.784556,-30.675729,0.0,top
U7,TLV75733PDBV,SOT-23-5,358.384556,-36.075729,180.0,top
U8,6N138,DIP-8_W7.62mm,361.784556,-54.275729,180.0,top
U9,mb1,mouse-bite-2mm-slot,442.014304,-115.850034,0.0,top
U10,mb1,mouse-bite-2mm-slot,345.014304,-115.850034,0.0,top
U15,mb1,mouse-bite-2mm-slot,410.264304,-115.850034,0.0,top
U38,WS2812,PinSocket_1x03_P2.54mm_Vertical,406.539304,-91.250034,-90.0,top
