Comment,Designator,Footprint,LCSC
microSD SOFNG TF-15x15,J38,SOFNG TF-15x15 (LCSC C111196),C111196
1uH,L1,Inductor_MCS0630-1R0MN2,C112125
10uF,"C1,C15,C16",C_0805_2012Metric,C15850
100k,"R14,R15",R_1206_3216Metric,C17900
10k,"R10,R4",R_1206_3216Metric,C17902
2R,R9,R_1206_3216Metric,C17942
75k,R12,R_1206_3216Metric,C17986
Injoinic IP5306 battery charge,IC2,SOIC127P599X155-9N,C181692
0.5R,R11,R_1206_3216Metric,C25340
25%,"D1,D2,D3,D4",LED_0805_2012Metric,C264424
1uF,C29,C_0805_2012Metric,C28323
M.2 riser 2.5mm,H4,Sinhoo SMTSO2530CTJ,C2915630
SW_Push,"SW1,SW6",XKB switch jlcpcb SW_TS-1187A-B-A-B,C318884
3.3v,D12,D_MiniMELF,C393436
CY8CMBR3108-LQXIT,IC3,QFN50P300X300X60-17N-D,C462528
TLV75733PDBV,U19,SOT-23-5,C485517
0.1uF,"C24,C25,C26,C28,C31,C32",C_0805_2012Metric,C49678
Teensy4.1_RIGHT,"U2,U3",PinSocket_1x20_P2.54mm_Vertical,C50984
0.22uF,"C2,C30",C_0805_2012Metric,C5378
22uF,"C18,C19",C_0805_2012Metric,C602037
APCI0108-P001A Teensy_4.0_MicroMod,U40,21992304,C841659
"MPR121, 0x5A",U45,UQFN-20_3x3mm_P0.4mm,C91322
MountingHole,H10,MountingHole_3.2mm_M3,
MountingHole,H11,MountingHole_3.2mm_M3,
MountingHole,H12,MountingHole_3.2mm_M3,
MountingHole,H9,MountingHole_3.2mm_M3,
MountingHole,H6,MountingHole_3.2mm_M3,
