Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,73.009317,-90.400034,-90.0,top
C2,0.22uF,C_0805_2012Metric,75.109317,-90.400034,-90.0,top
C15,10uF,C_0805_2012Metric,117.979317,-80.500034,-90.0,top
C16,10uF,C_0805_2012Metric,115.879317,-81.550034,90.0,top
C18,22uF,C_0805_2012Metric,130.700317,-82.260034,180.0,top
C19,22uF,C_0805_2012Metric,126.700317,-79.460034,90.0,top
C24,0.1uF,C_0805_2012Metric,63.509317,-74.500034,-90.0,top
C25,0.1uF,C_0805_2012Metric,61.481817,-66.501034,180.0,top
C26,0.1uF,C_0805_2012Metric,77.209317,-90.400034,-90.0,top
C28,0.1uF,C_0805_2012Metric,74.409317,-103.400034,0.0,top
C29,1uF,C_0805_2012Metric,84.209317,-90.400034,90.0,top
C30,0.22uF,C_0805_2012Metric,86.309317,-90.400034,90.0,top
C31,0.1uF,C_0805_2012Metric,88.409317,-90.400034,90.0,top
C32,0.1uF,C_0805_2012Metric,87.839317,-69.370034,180.0,top
D1,25%,LED_0805_2012Metric,177.91615,-79.522534,-90.0,top
D2,50%,LED_0805_2012Metric,175.700317,-79.522534,90.0,top
D3,75%,LED_0805_2012Metric,173.484484,-79.522534,-90.0,top
D4,100%,LED_0805_2012Metric,171.268651,-79.522534,90.0,top
D12,3.3v,D_MiniMELF,83.946817,-93.300034,0.0,top
H4,M.2 riser 2.5mm,Sinhoo SMTSO2530CTJ,98.556672,-98.155034,0.0,top
IC2,Injoinic IP5306 battery charge,SOIC127P599X155-9N,149.809317,-81.225034,90.0,top
IC3,CY8CMBR3108-LQXIT,QFN50P300X300X60-17N-D,89.589317,-72.800034,-90.0,top
J38,microSD SOFNG TF-15x15,SOFNG TF-15x15 (LCSC C111196),63.686566,-104.455034,-90.0,top
L1,1uH,Inductor_MCS0630-1R0MN2,136.915317,-77.585034,180.0,top
R4,10k,R_1206_3216Metric,63.881817,-68.801034,0.0,top
R9,2R,R_1206_3216Metric,113.579317,-81.000034,90.0,top
R10,10k,R_1206_3216Metric,155.879317,-80.500034,0.0,top
R11,0.5R,R_1206_3216Metric,130.100317,-80.060034,0.0,top
R12,75k,R_1206_3216Metric,66.219317,-76.910034,90.0,top
R14,100k,R_1206_3216Metric,78.846817,-93.300034,180.0,top
R15,100k,R_1206_3216Metric,75.009317,-106.100034,0.0,top
SW1,SW_Push,XKB switch jlcpcb SW_TS-1187A-B-A-B,162.579317,-80.500034,0.0,top
SW6,SW_Push,XKB switch jlcpcb SW_TS-1187A-B-A-B,89.209317,-98.000034,0.0,top
U2,Teensy4.1_RIGHT,PinSocket_1x20_P2.54mm_Vertical,170.379317,-94.234034,90.0,top
U3,Teensy4.1_LEFT,PinSocket_1x20_P2.54mm_Vertical,170.379317,-109.474034,90.0,top
U6,Placeholder,Teensy41_graphic,202.809317,-133.300034,0.0,top
U19,TLV75733PDBV,SOT-23-5,81.009317,-90.400034,0.0,top
U40,APCI0108-P001A Teensy_4.0_MicroMod,21992304,120.206672,-102.155034,-90.0,top
U42,processor board template,dev board processor subboard template,143.509317,-90.900034,0.0,top
U43,processor board template,dev board processor subboard template,59.509317,-90.900068,0.0,top
U45,"MPR121, 0x5A",UQFN-20_3x3mm_P0.4mm,68.019317,-72.310034,0.0,top
U46,captouch board template,dev board captouch board template,58.809317,-72.800034,90.0,top
U47,captouch board template,dev board captouch board template,82.809317,-72.800034,90.0,top
