Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C18, C19, C2, C3, C4, C8, C9",C_0805_2012Metric,12,22uF,C602037
"C14, C5",C_0805_2012Metric,2,0.1uF,C49678
"C15, C16, C6, C7",C_0805_2012Metric,4,10uF,C15850
"C17, C20, C28, C29",C_1206_3216Metric,4,10uF,C13585
"C21, C22, C23, C24, C30, C31, C32, C33",C_1206_3216Metric,8,22uF,C12891
"C25, C26, C34, C35",C_0603_1608Metric,4,22uF,C59461
"C27, C36",C_1206_3216Metric,2,0.1uF,C24497
"D1, D13, D5, D9",LED_0805_2012Metric,4,25%,C264424
"D10, D14, D2, D6",LED_0805_2012Metric,4,50%,C264424
"D11, D15, D3, D7",LED_0805_2012Metric,4,75%,C264424
"D12, D16, D4, D8",LED_0805_2012Metric,4,100%,C264424
"H1, H2, H3, H6",MountingHole_3.2mm_M3,4,MountingHole,
"IC1, IC2, IC3, IC4",SOIC127P599X155-9N (IP5306),4,Injoinic IP5306 battery charge,C181692
"L1, L3",Inductor_MCS0630-1R0MN2,2,1uH-Sunlord,C112125
"L2, L4",Inductor_MCS0630-1R0MN2,2,1uH-psa,C385251
"R1, R9",R_1206_3216Metric,2,2R,C17942
"R10, R2",R_1206_3216Metric,2,10k,C17902
"R11, R3",R_1206_3216Metric,2,0.5R,C25340
"R12, R6",R_0603_1608Metric,2,0.5R,C45312
"R4, R7",R_0603_1608Metric,2,2R,C22977
"R5, R8",R_0603_1608Metric,2,10k,C25804
"SW1, SW2, SW3, SW4",XKB switch jlcpcb SW_TS-1187A-B-A-B,4,SW_Push,C318884
