Designator,Mid X,Mid Y,Rotation,Layer
BT2,287.6185,-184.538,0.0,top
BT3,287.7985,-216.473,0.0,top
BT4,287.6385,-248.473,0.0,top
C1,330.0585,-157.853,0.0,top
C10,314.8585,-200.303,-90.0,top
C11,316.8585,-200.303,-90.0,top
C12,318.8585,-200.303,-90.0,top
C13,320.8585,-200.303,-90.0,top
C14,322.8585,-200.303,-90.0,top
C15,258.2285,-167.053,-90.0,top
C16,256.1285,-168.103,90.0,top
C17,252.4685,-230.328,90.0,top
C18,270.9495,-168.813,180.0,top
C19,266.9495,-166.013,90.0,top
C2,330.0585,-159.853,0.0,top
C20,254.9685,-231.828,90.0,top
C21,262.5585,-231.853,-90.0,top
C22,260.0585,-230.353,-90.0,top
C23,316.2185,-230.033,-90.0,top
C24,318.7185,-230.033,-90.0,top
C25,320.7185,-230.033,-90.0,top
C26,322.2185,-230.033,-90.0,top
C27,324.2185,-230.033,-90.0,top
C28,253.4685,-265.973,0.0,top
C29,253.4435,-263.473,0.0,top
C3,330.0585,-161.853,0.0,top
C30,265.9685,-263.973,180.0,top
C31,262.4685,-261.973,-90.0,top
C32,316.9685,-263.473,-90.0,top
C33,319.4685,-263.473,-90.0,top
C34,321.4685,-263.473,-90.0,top
C35,322.9685,-263.473,-90.0,top
C36,324.9685,-263.473,-90.0,top
C4,323.0585,-165.353,180.0,top
C5,323.0585,-167.353,180.0,top
C6,255.4185,-199.4005,-90.0,top
C7,253.3185,-200.6005,90.0,top
C8,260.7185,-201.538,180.0,top
C9,259.1185,-197.538,-90.0,top
D1,318.165333,-166.0755,-90.0,top
D10,290.5585,-232.453,0.0,top
D11,290.5585,-230.453,180.0,top
D12,290.5585,-228.453,0.0,top
D13,298.9685,-266.473,180.0,top
D14,298.9685,-264.473,0.0,top
D15,298.9685,-262.473,180.0,top
D16,298.9685,-260.473,0.0,top
D2,315.9495,-166.0755,90.0,top
D3,313.733667,-166.0755,-90.0,top
D4,311.517834,-166.0755,90.0,top
D5,282.196,-202.453,0.0,top
D6,282.196,-200.453,0.0,top
D7,282.196,-198.453,0.0,top
D8,282.196,-196.453,0.0,top
D9,290.5585,-234.453,180.0,top
IC1,275.520206,-199.499825,180.0,top
IC2,290.0585,-167.778,90.0,top
IC3,282.0585,-231.353,180.0,top
IC4,284.9685,-262.973,180.0,top
J1,331.4685,-200.473,-90.0,top
J2,246.6485,-192.853,0.0,top
J3,331.4685,-232.473,-90.0,top
J4,246.6485,-224.853,0.0,top
J5,331.4685,-264.473,-90.0,top
J6,246.6485,-256.853,0.0,top
L1,277.1645,-164.138,180.0,top
L2,270.2735,-199.353,90.0,top
L3,272.4685,-227.658,180.0,top
L4,275.0585,-259.973,180.0,top
R1,251.1185,-200.0005,90.0,top
R10,296.1285,-167.053,0.0,top
R11,270.3495,-166.613,0.0,top
R12,264.4685,-260.973,-90.0,top
R2,292.0585,-197.253,0.0,top
R3,261.3185,-198.138,-90.0,top
R4,250.4685,-232.828,90.0,top
R5,302.5585,-233.353,0.0,top
R6,264.5585,-229.353,-90.0,top
R7,249.9685,-264.473,-90.0,top
R8,304.4685,-260.973,0.0,top
R9,253.8285,-167.553,90.0,top
SW1,302.8285,-167.053,0.0,top
SW2,297.7335,-199.153,-90.0,top
SW3,308.5585,-231.353,0.0,top
SW4,310.5585,-263.353,0.0,top
U1,329.4685,-177.343,0.0,top
U2,329.4685,-209.343,0.0,top
U3,329.4685,-241.343,0.0,top
U49,306.5585,-236.853,0.0,top
U53,272.0585,-204.853,0.0,top
U55,306.5585,-172.853,0.0,top
U62,306.5585,-204.853,0.0,top
U65,269.5585,-236.853,0.0,top
U68,269.5585,-172.853,0.0,top
