Comment,Designator,Footprint,LCSC,Quantity
microSD SOFNG TF-15x15,J38,SOFNG TF-15x15 (LCSC C111196),C111196,1
10uF,C1,C_0805_2012Metric,C15850,1
100k,"R14,R15",R_1206_3216Metric,C17900,2
3.3v,D12,D_SOD-123,C22395523,1
1uF,C29,C_0805_2012Metric,C28323,1
M.2 riser 2.5mm,H4,Sinhoo SMTSO2530CTJ,C2915630,1
SW_Push,SW6,XKB switch jlcpcb SW_TS-1187A-B-A-B,C318884,1
TLV75733PDBV,U19,SOT-23-5,C485517,1
0.1uF,"C26,C28,C31",C_0805_2012Metric,C49678,3
0.22uF,"C2,C30",C_0805_2012Metric,C5378,2
APCI0108-P001A Teensy_4.0_MicroMod,U40,21992304,C841659,1
