Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,-13.651487,-64.953,-90.0,top
C2,0.22uF,C_0805_2012Metric,-11.551487,-64.953,-90.0,top
C26,0.1uF,C_0805_2012Metric,-9.451487,-64.953,-90.0,top
C28,0.1uF,C_0805_2012Metric,-12.251487,-77.953,0.0,top
C29,1uF,C_0805_2012Metric,-2.351487,-64.953,-90.0,top
C30,0.22uF,C_0805_2012Metric,-0.101487,-64.953,-90.0,top
C31,0.1uF,C_0805_2012Metric,2.148513,-64.953,-90.0,top
D12,3.3v,D_SOD-123,-3.001487,-68.103,0.0,top
H4,M.2 riser 2.5mm,Sinhoo SMTSO2530CTJ,11.895868,-72.708,0.0,top
J38,microSD SOFNG TF-15x15,SOFNG TF-15x15 (LCSC C111196),-21.349238,-78.853,-90.0,top
R14,100k,R_1206_3216Metric,-8.101487,-68.103,180.0,top
R15,100k,R_1206_3216Metric,-11.651487,-80.653,0.0,top
SW6,SW_Push,XKB switch jlcpcb SW_TS-1187A-B-A-B,2.648513,-73.353,0.0,top
U19,TLV75733PDBV,SOT-23-5,-5.651487,-64.953,0.0,top
U40,APCI0108-P001A Teensy_4.0_MicroMod,21992304,33.395868,-76.708,-90.0,top
