Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_1042_1x18650,-93.469196,-231.197034,180.0,top
C1,10uF,C_0402_1005Metric,-89.876207,-193.192523,-90.0,top
C1,10uF,C_0402_1005Metric,-69.539196,-193.197034,-90.0,top
C2,0.1uF,C_0402_1005Metric,-268.651696,-210.297034,180.0,top
C3,0.1uF,C_0402_1005Metric,-90.976207,-193.192523,-90.0,top
C3,0.1uF,C_0402_1005Metric,-70.639196,-193.197034,-90.0,top
C4,2.2uF,C_0402_1005Metric,-101.676207,-196.592523,-90.0,top
C4,2.2uF,C_0402_1005Metric,-81.339196,-196.597034,-90.0,top
C5,2.2uF,C_0402_1005Metric,-96.076207,-192.392523,180.0,top
C5,2.2uF,C_0402_1005Metric,-75.739196,-192.397034,180.0,top
C6,2.2uF,C_0402_1005Metric,-96.051902,-181.392523,0.0,top
C6,2.2uF,C_0402_1005Metric,-75.714891,-181.397034,0.0,top
C7,10uF,C_0402_1005Metric,-90.076207,-194.892523,0.0,top
C7,10uF,C_0402_1005Metric,-69.739196,-194.897034,0.0,top
C8,10uF,C_0402_1005Metric,-90.076207,-197.092523,180.0,top
C8,10uF,C_0402_1005Metric,-69.739196,-197.097034,180.0,top
C9,2.2uF,C_0402_1005Metric,-102.976207,-188.582523,180.0,top
C9,2.2uF,C_0402_1005Metric,-82.639196,-188.587034,180.0,top
C10,0.1uF,C_0402_1005Metric,-90.076207,-195.992523,0.0,top
C10,0.1uF,C_0402_1005Metric,-69.739196,-195.997034,0.0,top
C11,0.1uF,C_0402_1005Metric,-90.076207,-198.192523,180.0,top
C11,0.1uF,C_0402_1005Metric,-69.739196,-198.197034,180.0,top
C12,10uF,C_0402_1005Metric,-102.076207,-194.192523,-90.0,top
C12,10uF,C_0402_1005Metric,-81.739196,-194.197034,-90.0,top
C13,0.1uF,C_0402_1005Metric,-100.976207,-194.192523,-90.0,top
C13,0.1uF,C_0402_1005Metric,-80.639196,-194.197034,-90.0,top
C14,0.1uF,C_0402_1005Metric,-218.256696,-220.997034,180.0,top
C15,10uF,C_0402_1005Metric,-52.951696,-238.797034,0.0,top
C16,10uF,C_0402_1005Metric,-51.251696,-236.397034,-90.0,top
C17,10uF,C_0402_1005Metric,-136.551696,-226.497034,90.0,top
C18,22uF,C_0603_1608Metric,-134.151696,-240.697034,0.0,top
C19,22uF,C_0603_1608Metric,-52.751696,-221.297034,0.0,top
C20,0.22uF,C_0603_1608Metric,-134.426696,-224.597034,180.0,top
C21,22uF,C_0603_1608Metric,-52.751696,-224.897034,0.0,top
C22,22uF,C_0603_1608Metric,-134.151696,-239.097034,0.0,top
C23,0.1uF,C_0603_1608Metric,-134.426696,-226.197034,180.0,top
C24,22uF,C_0603_1608Metric,-134.151696,-237.497034,0.0,top
C25,22uF,C_0603_1608Metric,-134.151696,-235.897034,0.0,top
C26,0.1uF,C_0402_1005Metric,-137.651696,-229.897034,-90.0,top
C27,0.1uF,C_0402_1005Metric,-230.026696,-239.997034,0.0,top
C28,0.1uF,C_0402_1005Metric,-226.026696,-242.702034,-90.0,top
C29,0.1uF,C_0402_1005Metric,-267.951696,-205.597034,180.0,top
C31,0.1uF,C_0402_1005Metric,-142.439196,-212.897034,180.0,top
C32,0.1uF,C_0402_1005Metric,-140.039196,-207.697034,0.0,top
D1,1N4148WS,D_SOD-323,-218.276696,-224.597034,180.0,top
D2,25%,LED_0402_1005Metric,-113.856207,-189.692523,0.0,top
D3,50%,LED_0402_1005Metric,-113.856207,-188.192523,0.0,top
D4,75%,LED_0402_1005Metric,-113.856207,-186.692523,0.0,top
D5,100%,LED_0402_1005Metric,-113.856207,-185.192523,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-236.426696,-223.097034,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-267.251696,-223.197034,0.0,top
