Comment,Designator,Footprint,LCSC
PCM5102A,U4,TSSOP-20_4.4x6.5mm_P0.65mm,C107671
microSD SOFNG TF-15x15,J11,SOFNG TF-15x15 (LCSC C111196),C111196
2.2uF,"C4,C5,C6,C9",C_0402_1005Metric,C12530
WS2812_HEADER LH to external,U9,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right,C146243
0.1uF,C23,C_0603_1608Metric,C14663
0.1uF,"C10,C11,C13,C14,C2,C26,C27,C28,C29,C3,C31,C32",C_0402_1005Metric,C1525
10uF,"C1,C12,C15,C16,C17,C7,C8",C_0402_1005Metric,C15525
220R,R6,R_0805_2012Metric,C17557
470R,R7,R_0805_2012Metric,C17710
47R,"R8,R9",R_0805_2012Metric,C17714
Injoinic IP5306 battery charge,IC2,SOIC127P599X155-9N,C181692
0.22uF,C20,C_0603_1608Metric,C21120
1N4148WS,D1,D_SOD-323,C2128
2R,R10,R_0603_1608Metric,C22977
22R,"R1,R2,R3",R_0402_1005Metric,C25092
470R,"R4,R5",R_0402_1005Metric,C25117
10k,"R11,R15,R19,R35",R_0402_1005Metric,C25744
75k,"R16,R20,R36",R_0402_1005Metric,C25798
4.7k,"R17,R18",R_0402_1005Metric,C25900
5.1k,"R13,R14",R_0805_2012Metric,C25905
25%,"D2,D3,D4,D5",LED_0402_1005Metric,C264424
header i2c pressure,"J1,J14,J18,J2",PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,C2718488
M.2 riser 2.5mm,H1,Sinhoo SMTSO2530CTJ,C2915630
sw_batteryindicator,"SW1,SW6",XKB switch jlcpcb SW_TS-1187A-B-A-B,C318884
XKB_U262-16XN-4BVC11 USB-C recept,J5,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
OLED_HEADER,J9,PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right,C358721
1uH,L1,Inductor_MCS0630-1R0MN2,C385251
TLV75533PDBV,U5,SOT-23-5,C404027
TLV75733PDBV,U7,SOT-23-5,C485517
6N138,U6,DIP-8_W7.62mm,C571211
22uF,"C18,C19,C21,C22,C24,C25",C_0603_1608Metric,C59461
APCI0108-P001A Teensy_4.0_MicroMod,U2,21992304,C841659
sw_RHx1,"SW2,SW3,SW4,SW5",MB2511S2G45,C84931
"PCA9554APW,118","IC1,IC3",SOP65P640X110-16N,C86803
0.5R,R12,R_0402_1005Metric,C880273
"MPR121, 0x5A","U10,U11,U8",UQFN-20_3x3mm_P0.4mm,C91322
SW_y2,SW14,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Right,
encoder header,J21,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right,
SW_x2,SW11,MB2511S2G45,
SW_OK,SW7,solder point DIP 1x2,
I2C HEADER main to PITCH,J7,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,
main header multi to LH,J12,PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right,
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
SW_y1,SW13,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Right,
clarinoid3 DAC and POT subboard interconnect,J19,Bourns_POT_PTR902-2020K-A103 Panel interconnect,
clarinoid3 main usb interconnect 12p,J13,clarinoid3-sd subboard castellated,
WS2812B,D16,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
RH touch keys header,J6,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D25,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
SW_BACK,SW9,solder point DIP 1x2,
LH header multi to main,J10,PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right,
NetTie_2,NT2,NetTie-2_SMD_Pad0.5mm,
SW_x3,SW12,MB2511S2G45,
WS2812B,D17,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
SW_x1,SW10,MB2511S2G45,
octave_keys_6,U12,CLARINOID_M6_6OCTAVES_p13.3_offset1.0mm,
clarinoid3 DAC and POT subboard interconnect,J15,Bourns_POT_PTR902-2020K-A103 Panel subboard castellated header,
PTR902-2020K-A103,R21,PTR902-2020K-A103,
clarinoid3 main usb interconnect 12p,J17,clarinoid3-sd subboard smd,
